["o0","LEFT"]
["o1","LEFT"]
("o0","mode 1",1,"o0",1,"transmission")
(200, 3)
2.4480539912060303e+14 3.1759220789722305e-03 -6.7094221529552789e-01
2.4511925219639869e+14 3.2293613139041098e-03 -6.7556099004592829e-01
2.4543310527219431e+14 3.2831629765244035e-03 -6.8004760923406615e-01
2.4574695834798997e+14 3.3373268852421099e-03 -6.8442060618120570e-01
2.4606081142378562e+14 3.3918598861413904e-03 -6.8869737473738757e-01
2.4637466449958125e+14 3.4467757625070324e-03 -6.9289398615127362e-01
2.4668851757537691e+14 3.5020950452803803e-03 -6.9702502960866486e-01
2.4700237065117253e+14 3.5578447261368478e-03 -7.0110347707158049e-01
2.4731622372696819e+14 3.6140578759165081e-03 -7.0514057306121769e-01
2.4763007680276381e+14 3.6707731724176661e-03 -7.0914574999167257e-01
2.4794392987855947e+14 3.7280343427593702e-03 -7.1312656959023679e-01
2.4825778295435512e+14 3.7858895269675952e-03 -7.1708869086071980e-01
2.4857163603015075e+14 3.8443905707133564e-03 -7.2103586484162052e-01
2.4888548910594641e+14 3.9035922565608281e-03 -7.2496995621696736e-01
2.4919934218174206e+14 3.9635514844094570e-03 -7.2889099151744674e-01
2.4951319525753769e+14 4.0243264129656920e-03 -7.3279723331980873e-01
2.4982704833333334e+14 4.0859755752603345e-03 -7.3668527941737172e-01
("o0","mode 1",1,"o1",1,"transmission")
(200, 3)
1.8737028625000000e+14 9.9460073986712572e-01 1.5558258499854762e+00
1.8768413932579566e+14 9.9472840105523841e-01 1.5990435650653307e+00
1.8799799240159128e+14 9.9485402219757002e-01 1.6422657000141376e+00
1.8831184547738694e+14 9.9497768738866088e-01 1.6854920061554783e+00
1.8862569855318259e+14 9.9509947224089179e-01 1.7287222377092069e+00
1.8893955162897822e+14 9.9521944442038757e-01 1.7719561517626325e+00
1.8925340470477388e+14 9.9533766418791425e-01 1.8151935082736861e+00
1.8956725778056950e+14 9.9545418494084570e-01 1.8584340701058226e+00
1.8988111085636516e+14 9.9556905375213722e-01 1.9016776030937497e+00
1.9019496393216081e+14 9.9568231190261747e-01 1.9449238761389027e+00
1.9050881700795644e+14 9.9579399540292279e-01 1.9881726613329944e+00
1.9082267008375209e+14 9.9590413550170709e-01 2.0314237341080763e+00
1.9113652315954775e+14 9.9601275917695054e-01 2.0746768734106555e+00
1.9145037623534338e+14 9.9611988960750386e-01 2.1179318618977017e+00
1.9176422931113903e+14 9.9622554662230112e-01 2.1611884861519721e+00
1.9207808238693469e+14 9.9632974712496747e-01 2.2044465369135651e+00
1.9239193546273031e+14 9.9643250549192186e-01 2.2477058093251667e+00
1.9270578853852597e+14 9.9653383394238326e-01 2.2909661031876434e+00
1.9301964161432162e+14 9.9663374287908579e-01 2.3342272232229377e+00
1.9333349469011725e+14 9.9673224119882164e-01 2.3774889793412632e+00
1.9364734776591291e+14 9.9682933657229467e-01 2.4207511869092340e+00
1.9396120084170853e+14 9.9692503569312707e-01 2.4640136670160491e+00
1.9427505391750419e+14 9.9701934449617213e-01 2.5072762467346514e+00
