["port 1","LEFT"]
["port 2","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
2.4982704833333334e+14 4.0951760177011624e-03 -7.4423340778596048e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(200, 3)
1.8737028625000000e+14 9.9098722458958599e-01 -1.9908052544162950e-02
1.8768413932579566e+14 9.9125532131352900e-01 3.7832979191419057e-02
1.8799799240159128e+14 9.9152005805365029e-01 9.5571174124098962e-02
1.8831184547738694e+14 9.9178133995662610e-01 1.5330639829063758e-01
1.8862569855318259e+14 9.9203907353815368e-01 2.1103853179907991e-01
1.8893955162897822e+14 9.9229316710643278e-01 2.6876746831658371e-01
1.8925340470477388e+14 9.9254353117079963e-01 3.2649311456322072e-01
1.8956725778056950e+14 9.9279007883379511e-01 3.8421538981326830e-01
1.8988111085636516e+14 9.9303272616479366e-01 4.4193422540490873e-01
1.9019496393216081e+14 9.9327139255352292e-01 4.9964956425928958e-01
1.9050881700795644e+14 9.9350600104180287e-01 5.5736136040928108e-01
1.9082267008375209e+14 9.9373647863198855e-01 6.1506957853861399e-01
1.9113652315954775e+14 9.9396275657072741e-01 6.7277419353109846e-01
1.9145037623534338e+14 9.9418477060679911e-01 7.3047519003010808e-01
1.9176422931113903e+14 9.9440246122199927e-01 7.8817256200806929e-01
1.9207808238693469e+14 9.9461577383421218e-01 8.4586631234514664e-01
1.9239193546273031e+14 9.9482465897204297e-01 9.0355645241702398e-01
1.9270578853852597e+14 9.9502907242061889e-01 9.6124300169071009e-01
1.9301964161432162e+14 9.9522897533834875e-01 1.0189259873276133e+00
1.9333349469011725e+14 9.9542433434474753e-01 1.0766054437932588e+00
1.9364734776591291e+14 9.9561512157959420e-01 1.1342814124723548e+00
1.9396120084170853e+14 9.9580131473396716e-01 1.1919539412886098e+00
1.9427505391750419e+14 9.9598289705391996e-01 1.2496230843282878e+00
1.9458890699329984e+14 9.9615985731777779e-01 1.3072889014664850e+00
1.9490276006909547e+14 9.9633218978822613e-01 1.3649514579956861e+00
1.9521661314489112e+14 9.9649989414058548e-01 1.4226108242554671e+00
1.9553046622068678e+14 9.9666297536878989e-01 1.4802670752630505e+00
1.9584431929648241e+14 9.9682144367078418e-01 1.5379202903440825e+00
1.9615817237227806e+14 9.9697531431513431e-01 1.5955705527633410e+00
1.9647202544807369e+14 9.9712460749079512e-01 1.6532179493550940e+00
1.9678587852386934e+14 9.9726934814201496e-01 1.7108625701532323e+00
1.9709973159966500e+14 9.9740956579043494e-01 1.7685045080210935e+00
1.9741358467546062e+14 9.9754529434647055e-01 1.8261438582814076e+00
1.9772743775125628e+14 9.9767657191201875e-01 1.8837807183468609e+00
1.9804129082705194e+14 9.9780344057655246e-01 1.9414151873517034e+00
1.9835514390284756e+14 9.9792594620862185e-01 1.9990473657853565e+00
1.9866899697864322e+14 9.9804413824461458e-01 2.0566773551289086e+00
1.9898285005443888e+14 9.9815806947669494e-01 2.1143052574953924e+00
1.9929670313023450e+14 9.9826779584150960e-01 2.1719311752753336e+00
1.9961055620603016e+14 9.9837337621135180e-01 2.2295552107884871e+00
1.9992440928182581e+14 9.9847487218908448e-01 2.2871774659433401e+00
2.0023826235762144e+14 9.9857234790818117e-01 2.3447980419058427e+00
2.0055211543341709e+14 9.9866586983887795e-01 2.4024170387785881e+00
2.0086596850921272e+14 9.9875550660139822e-01 2.4600345552922653e+00
2.0117982158500838e+14 9.9884132878693999e-01 2.5176506885105319e+00
2.0149367466080403e+14 9.9892340878693420e-01 2.5752655335500485e+00
2.0180752773659966e+14 9.9900182063094956e-01 2.6328791833170313e+00
2.0212138081239531e+14 9.9907663983336681e-01 2.6904917282615193e+00
2.0243523388819097e+14 9.9914794324883704e-01 2.7481032561508427e+00
2.0274908696398659e+14 9.9921580893629869e-01 2.8057138518633606e+00
2.0306294003978225e+14 9.9928031603125611e-01 2.8633235972035465e+00
2.0337679311557791e+14 9.9934154462580538e-01 2.9209325707392226e+00
2.0369064619137353e+14 9.9939957565583037e-01 2.9785408476618946e+00
2.0400449926716919e+14 9.9945449079460680e-01 3.0361484996706367e+00
2.0431835234296481e+14 9.9950637235205786e-01 3.0937555948799207e+00
2.0463220541876047e+14 9.9955530317875596e-01 3.1513621977517903e+00
2.0494605849455612e+14 9.9960136657373000e-01 3.2089683690522044e+00
2.0525991157035175e+14 9.9964464619513460e-01 3.2665741658316878e+00
2.0557376464614741e+14 9.9968522597279730e-01 3.3241796414297600e+00
2.0588761772194306e+14 9.9972319002166787e-01 3.3817848455026431e+00
2.0620147079773869e+14 9.9975862255523729e-01 3.4393898240738459e+00
2.0651532387353434e+14 9.9979160779803322e-01 3.4969946196063608e+00
2.0682917694933000e+14 9.9982222989633640e-01 3.5545992710958463e+00
2.0714303002512562e+14 9.9985057282638923e-01 3.6122038141834372e+00
