wavelengths,s11a,s12a,s13a,s21a,s22a,s23a,s31a,s32a,s33a,s11m,s12m,s13m,s21m,s22m,s23m,s31m,s32m,s33m
1.4932668329177057,31.015359297504677,28.90640978933943,28.906358882145472,28.906306964348744,36.570532432387374,33.433426548574474,28.906260324912854,33.433439889196144,36.57164432262569,0.0013236186682745094,0.7613148810857687,0.7613438354611148,0.760908651334578,0.13239737962123801,0.1320341036211573,0.7609132271937569,0.13203052284730693,0.13242564528987583
1.492336448598131,31.364035077510955,29.183008974326338,29.182954516275945,29.182915865286297,36.90631307245102,33.768662329650624,29.182860400229305,33.76868086612629,36.907113392517616,0.0016312909719291137,0.7611687421530241,0.7611936439798604,0.7607740547590208,0.13259178514559228,0.13221663195187283,0.7607744939508635,0.13221329348128588,0.13258807479360382
1.4914072229140725,31.687806819065305,29.459612632034485,29.459553749883803,29.459529559879048,37.24191995926086,34.10403685990459,29.459464366845445,34.10405853425565,37.242432895983406,0.001899121239758487,0.7610178565928725,0.7610398103035251,0.7606294115040889,0.13281273264871513,0.13238659638552105,0.7606278947162891,0.1323838603989024,0.13277386290323015
1.4904791537025515,32.00371535631485,29.73622195780761,29.736158150475205,29.736145881000365,37.57730689320435,34.43953739567385,29.7360708449305,34.43955970867959,37.57756837046923,0.002123121744282761,0.7608617278237199,0.7608819098316042,0.7604740602960073,0.1330496606476687,0.13254188239237796,0.7604728371690515,0.13254002460053463,0.1329746037338984
1.4895522388059703,32.32043845568158,30.012838279495124,30.012769409120086,30.012762843224294,37.91246079470545,34.77514421415755,30.012678624943437,34.77516454926079,37.912514279278696,0.0023052861002290695,0.7606991023574226,0.7607186999245843,0.7603078433308064,0.1332901912109655,0.1326806206935629,0.7603090726351686,0.13267980518448552,0.13318023465104648
1.4886264760720946,32.642866052473956,30.289462492463493,30.28938876617477,30.289378856653848,38.24740337888206,35.110830498980995,30.28928682742062,35.11084644604391,38.24729555210222,0.002452225220021321,0.7605279456955462,0.7605481032531917,0.7601309770060812,0.13352167401656345,0.13280109226441297,0.7601365760915103,0.13280135696530246,0.1333803982734568
1.487701863354037,32.97351736954981,30.566094523357926,30.566016468671666,30.56599284283618,38.58218864947165,35.446562836681096,30.565894970174238,35.446572476774875,38.58196531796053,0.0025743350824950144,0.7603456335850284,0.7603674040864657,0.7599438727527686,0.13373281736886308,0.13290166233830802,0.7599553865647939,0.13290291901221382,0.13356589653579373
1.4867783985102418,33.31282602004798,30.842732955487293,30.842651389114682,30.842604237262723,38.916896594995265,35.782302411904936,30.84250293067994,35.78230453162771,38.91659913590007,0.0026846226827892516,0.760149329255342,0.7601736282889504,0.7597469476390029,0.13391521638660267,0.1329807588687829,0.7597654461110207,0.1329828077728331,0.13373006100771104
1.4858560794044664,33.65910499433669,31.119374918570166,31.11929090617527,31.119212889311477,39.251623832987825,36.11800690257783,31.11911081717087,36.11800111671522,39.25128638334593,0.0027968087927491706,0.759936472086679,0.7599640338603642,0.7595404639859612,0.13406459707140486,0.1330369011583799,0.7595664745441398,0.13303945858835897,0.13386986925822172
1.4849349039057655,34.008719699481425,31.396016290220658,31.39593109393162,31.395818892568574,39.58647218237307,36.45363297319174,31.39571878323839,36.4536197463848,39.5861197060327,0.002922756929069431,0.7597052732151724,0.7597366095574426,0.7593244272379546,0.13418162116562254,0.1330687745566281,0.75935790665085,0.1330715097892948,0.13398666010556876
1.4840148698884756,34.35678498059479,31.67265218805345,31.672567199441467,31.672422390793667,39.921536275281056,36.78913916234699,31.672326832148347,36.789119732360774,39.92118358186729,0.003069831174153533,0.7594551064826365,0.7594904719876763,0.7590985548765791,0.13427213816574243,0.13307533917809705,0.7591389019164706,0.13307791607853295,0.13408633910931736
1.4830959752321982,34.69829528841501,31.94927766517769,31.949194323662176,31.949023404703723,40.25689138483197,37.12448887920839,31.948934656013616,37.1244650951271,40.25654313006392,0.003239148172484224,0.7591867012718883,0.759226069026674,0.758862310962685,0.1343468249975038,0.13305595582492885,0.7589084185088474,0.13305807381608323,0.1341790171776075
1.4821782178217822,35.02920844674335,32.22588847351656,32.22580817308675,32.22562171314152,40.592582668428044,37.45965317968404,32.2255415423866,37.45962727691211,40.59223432270475,0.00342543882998738,0.7589020835164462,0.7589451361012741,0.7586149858655241,0.13442021753108307,0.1330105111889295,0.7586653283618129,0.1330119404701443,0.13427808637787012
1.4812615955473099,35.34701553346965,32.502481740126605,32.50240573012561,32.50221680299526,40.92861700083777,37.794612997408386,32.50214636074278,37.79458733708043,40.92825672067987,0.003618470385375095,0.7586042636681029,0.7586504032442972,0.7583557926943228,0.1345092068528948,0.13293952651599386,0.7584085424584165,0.13294013331744997,0.13439880321893435
1.480346106304079,35.65071040944619,32.77905641599268,32.77898570381501,32.77880788129829,41.2649584607423,38.12936055852203,32.77874761963549,38.12933736150633,41.26456972741525,0.0038053376164935678,0.7582967237067733,0.7583451032164648,0.7580839525459543,0.1346311406386863,0.13284423807826376,0.7581371164810236,0.1328439971800709,0.1345565142220287
1.479431747992588,35.94040641296121,33.055613401170774,33.05554866565919,33.055393926222195,41.60152828653192,38.46389980475866,33.05534356802325,38.463880909857366,41.60109309019477,0.003972839100238822,0.7579827973841259,0.7580323726021326,0.7577987490801057,0.13480172776566854,0.13272664252041952,0.7578503159964534,0.13272563600106618,0.1347647131864476
1.4785185185185183,36.2168992478219,33.33215531429638,33.332096838295435,33.331973745627025,41.9382096957487,38.79824577082754,33.331932305888266,38.79823244324575,41.93771195639734,0.0041094443198856,0.7576650597350775,0.7577146595979904,0.757499546135977,0.1350329830044713,0.1325895040601079,0.7575476342424524,0.1325879070001219,0.1350331550439431
1.4776064157927207,36.48135080950837,33.608685943878,33.608633573002386,33.60854601415579,42.27485738032208,39.132422989729605,33.608511871503815,39.13241579980807,42.274286232773065,0.004206667324250713,0.7573448394221206,0.7573932500985405,0.7571857759189569,0.13533145945069977,0.13243632279541281,0.7572287701319981,0.1324343782088566,0.13536625943779693
