wavelengths,s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
1.499812147777082,0.5981641420803496,0.17761750737536475,0.17761384988980328,0.5266253977740344,6.206786060218301e-05,1.0000087009980283,1.000008726328634,6.285603675422868e-05
1.4988735919899874,0.5800372031334547,0.20474654970246317,0.20474297324158103,0.508594982424047,5.978789271309639e-05,1.00000858699282,1.0000086745323937,6.0740853414681776e-05
1.497936210131332,0.5595787598839727,0.23187311400773045,0.23186962497161645,0.4885048116799345,5.7540469327417304e-05,1.0000084610132343,1.0000086092428937,5.865586032674504e-05
1.497,0.5366240324272985,0.2589972000007612,0.25899380464476407,0.46624055547197163,5.533722747796098e-05,1.0000083233022725,1.0000085303762718,5.661124784500408e-05
1.496064959400375,0.5110121197076691,0.2861188074504654,0.28611551186954953,0.44169602507739886,5.3190054155245295e-05,1.00000817416792,1.000008437922632,5.461724042178121e-05
1.4951310861423222,0.4825926854448558,0.31323793618944823,0.31323474630321096,0.41477841017123857,5.111101380615844e-05,1.0000080139816896,1.000008331945456,5.268400898833196e-05
1.494198378041173,0.45123465799363405,0.3403545861183693,0.3403515076567682,0.3854146040199843,4.911223869292565e-05,1.0000078431768118,1.0000082125806249,5.082155562644265e-05
1.4932668329177057,0.4150071096642656,0.3674687566773647,0.3674657951156283,0.3520509679750883,4.740238045376033e-05,1.000007663136302,1.0000080810350465,4.9241347057901445e-05
1.492336448598131,0.35475813806366024,0.3945804413238679,0.39457760131624864,0.29918303372327015,4.841363306534929e-05,1.0000074852354195,1.0000079497494654,5.042071800540152e-05
1.4914072229140725,0.2971495780802855,0.4216896469547592,0.4216869336099678,0.24890933332576012,4.964125795394975e-05,1.0000072986204875,1.000007806200411,5.177440727774057e-05
1.4904791537025515,0.2426611818098765,0.44879637380613313,0.4487937919939561,0.2015154232232502,5.107464255073736e-05,1.000007103935522,1.0000076507833084,5.329280450899961e-05
1.4895522388059703,0.19163810002801762,0.4759006222010843,0.4758981765421808,0.15719479412571977,5.2700206226173074e-05,1.000006901872582,1.0000074839556736,5.496441734814199e-05
