s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths
-9.640514710251274,-5.4189612702316765,-5.4189612702316765,-9.640514710251274,0.044561760446599874,0.4848931202730471,0.4848931202730471,0.044561760446599874,1.4523489932885905
-10.025311211023858,-5.71161379367162,-5.71161379367162,-10.025311211023858,0.04387762454158477,0.49522791273045597,0.49522791273045597,0.04387762454158477,1.4543624161073825
-10.423027539545934,-6.003634567067351,-6.003634567067351,-10.423027539545934,0.04199884828808469,0.505177397910134,0.505177397910134,0.04199884828808469,1.4563758389261745
-10.832144390759103,-6.295013044187193,-6.295013044187193,-10.832144390759103,0.039241673414403835,0.5147458583287353,0.5147458583287353,0.039241673414403835,1.4583892617449663
-11.254463563051113,-6.585768862640485,-6.585768862640485,-11.254463563051113,0.03617871338314427,0.5239277805180962,0.5239277805180962,0.03617871338314427,1.4604026845637583
-11.695782336535325,-6.875916190041511,-6.875916190041511,-11.695782336535325,0.03341460039527229,0.5327023792291169,0.5327023792291169,0.03341460039527229,1.4624161073825503
-12.162002326704778,-7.165438198464176,-7.165438198464176,-12.162002326704778,0.031380690934971416,0.5410487000354891,0.5410487000354891,0.031380690934971416,1.4644295302013421
-12.651114761847852,-7.454305449338184,-7.454305449338184,-12.651114761847852,0.030241972393790922,0.548966790080628,0.548966790080628,0.030241972393790922,1.4664429530201342
-13.14867287167425,-7.742522362340029,-7.742522362340029,-13.14867287167425,0.02989513354578138,0.5564784469592875,0.5564784469592875,0.02989513354578138,1.4684563758389262
-13.63328746609787,-8.030149565155835,-8.030149565155835,-13.63328746609787,0.03002310209773856,0.5636040017656373,0.5636040017656373,0.03002310209773856,1.470469798657718
-14.086898863966832,-8.317279143531254,-8.317279143531254,-14.086898863966832,0.030235223848581006,0.5703373972294208,0.5703373972294208,0.030235223848581006,1.47248322147651
-14.50061303475304,-8.603989059459133,-8.603989059459133,-14.50061303475304,0.030242538445487716,0.5766419391001686,0.5766419391001686,0.030242538445487716,1.474496644295302
-14.874892276402882,-8.890316809254156,-8.890316809254156,-14.874892276402882,0.029930647426220897,0.5824650906604195,0.5824650906604195,0.029930647426220897,1.4765100671140938
-15.21712598346364,-9.176263019429623,-9.176263019429623,-15.21712598346364,0.029284616340213534,0.5877551252513112,0.5877551252513112,0.029284616340213534,1.4785234899328858
-15.537695292600954,-9.46180768894197,-9.46180768894197,-15.537695292600954,0.028263416804204137,0.5924684908376737,0.5924684908376737,0.028263416804204137,1.4805369127516779
-15.845075734984675,-9.746922181940354,-9.746922181940354,-15.845075734984675,0.026756590054424795,0.596569643348134,0.596569643348134,0.026756590054424795,1.4825503355704697
-16.141922520574134,-10.031574220523144,-10.031574220523144,-16.141922520574134,0.024668707607437366,0.6000290238382106,0.6000290238382106,0.024668707607437366,1.484563758389262
-16.424129213519105,-10.315728890250591,-10.315728890250591,-16.424129213519105,0.022062016196076954,0.602820891733647,0.602820891733647,0.022062016196076954,1.4865771812080537
-16.68418610134667,-10.599347240682341,-10.599347240682341,-16.68418610134667,0.01923708942911044,0.604922748215248,0.604922748215248,0.01923708942911044,1.4885906040268455
